4176,EPSG,4176,"GEOGCS[""Australian Antarctic"", DATUM[""Australian Antarctic Datum 1998"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4178,EPSG,4178,"GEOGCS[""Pulkovo 1942(83)"", DATUM[""Pulkovo 1942/83"", ELLIPSOID[""Krassowsky 1940"", 6378245, 298.3]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4179,EPSG,4179,"GEOGCS[""Pulkovo 1942(58)"", DATUM[""Pulkovo 1942/58"", ELLIPSOID[""Krassowsky 1940"", 6378245, 298.3]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4180,EPSG,4180,"GEOGCS[""EST97"", DATUM[""Estonia 1997"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4181,EPSG,4181,"GEOGCS[""Luxembourg 1930"", DATUM[""Luxembourg 1930"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4182,EPSG,4182,"GEOGCS[""Azores Occidental 1939"", DATUM[""Azores Occidental Islands 1939"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4183,EPSG,4183,"GEOGCS[""Azores Central 1948"", DATUM[""Azores Central Islands 1948"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4184,EPSG,4184,"GEOGCS[""Azores Oriental 1940"", DATUM[""Azores Oriental Islands 1940"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4188,EPSG,4188,"GEOGCS[""OSNI 1952"", DATUM[""OSNI 1952"", ELLIPSOID[""Airy 1830"", 6377563.396, 299.3249646]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4189,EPSG,4189,"GEOGCS[""REGVEN"", DATUM[""Red Geodesica Venezolana"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4190,EPSG,4190,"GEOGCS[""POSGAR 98"", DATUM[""Posiciones Geodesicas Argentinas 1998"", ELLIPSOID[""GRS 1980"", 6378137, 298.257222101]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4191,EPSG,4191,"GEOGCS[""Albanian 1987"", DATUM[""Albanian 1987"", ELLIPSOID[""Krassowsky 1940"", 6378245, 298.3]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4192,EPSG,4192,"GEOGCS[""Douala 1948"", DATUM[""Douala 1948"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4193,EPSG,4193,"GEOGCS[""Manoca 1962"", DATUM[""Manoca 1962"", ELLIPSOID[""Clarke 1880 (IGN)"", 6378249.2, 293.466021293627]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4194,EPSG,4194,"GEOGCS[""Qornoq 1927"", DATUM[""Qornoq 1927"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
4195,EPSG,4195,"GEOGCS[""Scoresbysund 1952"", DATUM[""Scoresbysund 1952"", ELLIPSOID[""International 1924"", 6378388, 297]], PRIMEM[""Greenwich"", 0], UNIT[""Degree"", 0.0174532925199433]]",metre,1
