readwritelsn,24,173,2,173,10,0,0,17,0,0,0,0,0,0,0,17,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
readonlybaselsn,24,173,2,173,10,0,0,18,0,0,0,0,0,0,0,18,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
firstupdatelsn,24,173,2,173,10,0,0,19,0,0,0,0,0,0,0,19,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
lastupdatelsn,24,173,2,173,10,0,0,20,0,0,0,0,0,0,0,20,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
backuplsn,24,173,2,173,10,0,0,21,0,0,0,0,0,0,0,21,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
diffbaselsn,24,173,2,173,10,0,0,22,0,0,0,0,0,0,0,22,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
diffbaseguid,24,36,0,36,16,0,0,23,0,0,0,0,0,0,0,23,,0,0,0,8,37,0,,0,,0,0,1,,0x0000000000
diffbasetime,24,61,1,61,8,23,3,24,0,0,0,0,0,0,0,24,,0,0,0,0,61,12,,23,3,0,0,0,,0x0000000000
diffbaseseclsn,24,173,2,173,10,0,0,25,0,0,0,0,0,0,0,25,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
redostartlsn,24,173,2,173,10,0,0,26,0,0,0,0,0,0,0,26,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
redotargetlsn,24,173,2,173,10,0,0,27,0,0,0,0,0,0,0,27,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
forkguid,24,36,0,36,16,0,0,28,0,0,0,0,0,0,0,28,,0,0,0,8,37,0,,0,,0,0,1,,0x0000000000
forklsn,24,173,2,173,10,0,0,29,0,0,0,0,0,0,0,29,,0,0,0,56,37,3,,10,,0,0,1,,0x0000000000
forkvc,24,127,1,127,8,19,0,30,0,0,0,0,0,0,0,30,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
redostartforkguid,24,36,0,36,16,0,0,31,0,0,0,0,0,0,0,31,,0,0,0,8,37,0,,0,,0,0,1,,0x0000000000
id,25,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
indid,25,56,1,56,4,10,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
status,25,56,1,56,4,10,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
